nombre_provincia,nombre_canton
Loja,ZAPOTILLO
Loja,PINDAL
Loja,QUILANGA
Loja,OLMEDO
Los Ríos,BABAHOYO
Los Ríos,BABA
Los Ríos,MONTALVO
Los Ríos,PUEBLOVIEJO
Los Ríos,QUEVEDO
Los Ríos,URDANETA
Los Ríos,VENTANAS
Los Ríos,VÍNCES
Los Ríos,PALENQUE
Los Ríos,BUENA FÉ
Los Ríos,VALENCIA
Los Ríos,MOCACHE
Los Ríos,QUINSALOMA
Manabí,PORTOVIEJO
Manabí,BOLÍVAR
Manabí,CHONE
Manabí,EL CARMEN
Manabí,FLAVIO ALFARO
Manabí,JIPIJAPA
Manabí,JUNÍN
Manabí,MANTA
Manabí,MONTECRISTI
Manabí,PAJÁN
Manabí,PICHINCHA
Manabí,ROCAFUERTE
Manabí,SANTA ANA
Manabí,SUCRE
Manabí,TOSAGUA
Manabí,24 DE MAYO
Manabí,PEDERNALES
Manabí,OLMEDO
Manabí,PUERTO LÓPEZ
Manabí,JAMA
Manabí,JARAMIJÓ
Manabí,SAN VICENTE
Morona Santiago,MORONA
Morona Santiago,GUALAQUIZA
Morona Santiago,LIMÓN INDANZA
Morona Santiago,PALORA
Morona Santiago,SANTIAGO
Morona Santiago,SUCÚA
Morona Santiago,HUAMBOYA
Morona Santiago,SAN JUAN BOSCO
Morona Santiago,TAISHA
Morona Santiago,LOGROÑO
Morona Santiago,PABLO SEXTO
Morona Santiago,TIWINTZA
Napo,TENA
Napo,ARCHIDONA
Napo,EL CHACO
Napo,QUIJOS
Napo,CARLOS JULIO AROSEMENA TOLA
Pastaza,PASTAZA
Pastaza,MERA
Pastaza,SANTA CLARA
Pastaza,ARAJUNO
Pichincha,QUITO
Pichincha,CAYAMBE
Pichincha,MEJIA
Pichincha,PEDRO MONCAYO
Pichincha,RUMIÑAHUI
Pichincha,SAN MIGUEL DE LOS BANCOS
Pichincha,PEDRO VICENTE MALDONADO
Pichincha,PUERTO QUITO
Tungurahua,AMBATO
Tungurahua,BAÑOS DE AGUA SANTA
Tungurahua,CEVALLOS
Tungurahua,MOCHA
Tungurahua,PATATE
Tungurahua,QUERO
Tungurahua,SAN PEDRO DE PELILEO
Tungurahua,SANTIAGO DE PÍLLARO
Tungurahua,TISALEO
Zamora Chinchipe,ZAMORA
Zamora Chinchipe,CHINCHIPE
Zamora Chinchipe,NANGARITZA
Zamora Chinchipe,YACUAMBI
Zamora Chinchipe,YANTZAZA (YANZATZA)
Zamora Chinchipe,EL PANGUI
Zamora Chinchipe,CENTINELA DEL CÓNDOR
Zamora Chinchipe,PALANDA
Zamora Chinchipe,PAQUISHA
Galápagos,SAN CRISTÓBAL
Galápagos,ISABELA
Galápagos,SANTA CRUZ
Sucumbíos,LAGO AGRIO
Sucumbíos,GONZALO PIZARRO
Sucumbíos,PUTUMAYO
Sucumbíos,SHUSHUFINDI
Sucumbíos,SUCUMBÍOS
Sucumbíos,CASCALES
Sucumbíos,CUYABENO
Orellana,ORELLANA
Orellana,AGUARICO
Orellana,LA JOYA DE LOS SACHAS
Orellana,LORETO
Santo Domingo de los Tsáchilas,SANTO DOMINGO
Santo Domingo de los Tsáchilas,LA CONCORDIA
Santa Elena,SANTA ELENA
Santa Elena,LA LIBERTAD
Santa Elena,SALINAS
